gene,biotype,spoke-okn,rdkg,prokn,digcfdekg,n_sources,digcfdekg_weight,confidence_tier
AGER,protein-coding,0,0,0,1,1,4.63,T4 low
AGO2,protein-coding,0,0,0,1,1,3.68,T4 low
AIF1,protein-coding,1,0,0,0,1,,T4 low
AKT1,protein-coding,1,0,0,0,1,,T4 low
ALB,protein-coding,1,0,0,0,1,,T4 low
AMFR,protein-coding,0,1,0,0,1,,T4 low
ANKH,protein-coding,1,0,0,0,1,,T4 low
ANKRD31,protein-coding,1,0,0,0,1,,T4 low
APCS,protein-coding,1,0,0,0,1,,T4 low
APOC1,protein-coding,0,1,0,0,1,,T4 low
APOC4,protein-coding,1,0,0,0,1,,T4 low
ARC,protein-coding,0,1,0,0,1,,T4 low
ARHGAP45,protein-coding,1,0,0,0,1,,T4 low
ARL17B,protein-coding,1,0,0,0,1,,T4 low
ATP5F1A,protein-coding,0,1,0,0,1,,T4 low
ATP8B4,protein-coding,1,0,0,0,1,,T4 low
BACE2,protein-coding,0,0,0,1,1,4.49,T4 low
BAX,protein-coding,0,1,0,0,1,,T4 low
BCAM,protein-coding,1,0,0,0,1,,T4 low
BCKDK,protein-coding,1,0,0,0,1,,T4 low
BCL3,protein-coding,1,0,0,0,1,,T4 low
C17ORF107,protein-coding,1,0,0,0,1,,T4 low
C9ORF72,protein-coding,1,0,0,0,1,,T4 low
CACNA1G,protein-coding,1,0,0,0,1,,T4 low
CALM1,protein-coding,0,1,0,0,1,,T4 low
CBLC,protein-coding,1,0,0,0,1,,T4 low
CCDC6,protein-coding,0,0,0,1,1,3.95,T4 low
CDK5,protein-coding,1,0,0,0,1,,T4 low
CELF1,protein-coding,1,0,0,0,1,,T4 low
CHAT,protein-coding,1,0,0,0,1,,T4 low
CHRNB2,protein-coding,0,1,0,0,1,,T4 low
CHRNE,protein-coding,1,0,0,0,1,,T4 low
CLN3,protein-coding,0,0,0,1,1,4.09,T4 low
CLNK,protein-coding,0,0,0,1,1,3.85,T4 low
CNTNAP2,protein-coding,1,0,0,0,1,,T4 low
COX7C,protein-coding,0,0,0,1,1,4.07,T4 low
CR1L,protein-coding,0,0,0,1,1,3.97,T4 low
CREB1,protein-coding,1,0,0,0,1,,T4 low
CRH,protein-coding,0,1,0,0,1,,T4 low
CSNK1E,protein-coding,0,0,0,1,1,4.12,T4 low
CSNK1G3,protein-coding,0,0,0,1,1,3.69,T4 low
CTSD,protein-coding,1,0,0,0,1,,T4 low
CYCS,protein-coding,1,0,0,0,1,,T4 low
CYP2D6,protein-coding,0,1,0,0,1,,T4 low
CYP46A1,protein-coding,0,1,0,0,1,,T4 low
DAB1,protein-coding,1,0,0,0,1,,T4 low
DLG1,protein-coding,0,0,0,1,1,4.06,T4 low
DLG4,protein-coding,1,0,0,0,1,,T4 low
DOC2A,protein-coding,1,0,0,0,1,,T4 low
DPYSL2,protein-coding,0,1,0,0,1,,T4 low
DSG2,protein-coding,1,0,0,0,1,,T4 low
DYRK1A,protein-coding,0,0,0,1,1,5.02,T4 low
EFNA1,protein-coding,0,0,0,1,1,4.73,T4 low
EFNA3,protein-coding,0,0,0,1,1,3.84,T4 low
EIF2S1,protein-coding,0,1,0,0,1,,T4 low
ENO1,protein-coding,0,1,0,0,1,,T4 low
EPHA1,protein-coding,0,1,0,0,1,,T4 low
EPHA4,protein-coding,0,0,0,1,1,4.18,T4 low
ESR1,protein-coding,0,1,0,0,1,,T4 low
F2,protein-coding,0,1,0,0,1,,T4 low
FAM47E,protein-coding,1,0,0,0,1,,T4 low
FBXL7,protein-coding,1,0,0,0,1,,T4 low
FKBP1A,protein-coding,0,0,0,1,1,4.19,T4 low
FLOT2,protein-coding,0,0,0,1,1,3.8,T4 low
FUS,protein-coding,1,0,0,0,1,,T4 low
GATA1,protein-coding,1,0,0,0,1,,T4 low
GFAP,protein-coding,1,0,0,0,1,,T4 low
GGA3,protein-coding,0,0,0,1,1,4.05,T4 low
GNPNAT1,protein-coding,0,0,0,1,1,4.41,T4 low
GPR141,protein-coding,1,0,0,0,1,,T4 low
GRIN2B,protein-coding,1,0,0,0,1,,T4 low
GRN,protein-coding,1,0,0,0,1,,T4 low
HAP1,protein-coding,0,0,0,1,1,3.79,T4 low
HS3ST5,protein-coding,1,0,0,0,1,,T4 low
HSPG2,protein-coding,1,0,0,0,1,,T4 low
HTT,protein-coding,1,0,0,0,1,,T4 low
ICA1,protein-coding,1,0,0,0,1,,T4 low
ICA1L,protein-coding,1,0,0,0,1,,T4 low
IDUA,protein-coding,1,0,0,0,1,,T4 low
IFNG,protein-coding,0,0,0,1,1,4.68,T4 low
IFNGR1,protein-coding,0,0,0,1,1,4.19,T4 low
IGF1R,protein-coding,0,1,0,0,1,,T4 low
IGF2,protein-coding,0,1,0,0,1,,T4 low
IGF2R,protein-coding,0,1,0,0,1,,T4 low
IL10,protein-coding,1,0,0,0,1,,T4 low
IL34,protein-coding,1,0,0,0,1,,T4 low
IL6,protein-coding,1,0,0,0,1,,T4 low
INSR,protein-coding,0,1,0,0,1,,T4 low
IQCK,protein-coding,0,1,0,0,1,,T4 low
ITGB1BP1,protein-coding,1,0,0,0,1,,T4 low
ITM2B,protein-coding,0,0,0,1,1,4.04,T4 low
ITM2C,protein-coding,0,0,0,1,1,3.84,T4 low
JAZF1,protein-coding,1,0,0,0,1,,T4 low
KIR3DL2,protein-coding,1,0,0,0,1,,T4 low
KLF16,protein-coding,1,0,0,0,1,,T4 low
KLK6,protein-coding,0,0,0,1,1,4.06,T4 low
LEP,protein-coding,0,1,0,0,1,,T4 low
LYN,protein-coding,0,0,0,1,1,4.54,T4 low
MARK4,protein-coding,1,0,0,0,1,,T4 low
MGMT,protein-coding,1,0,0,0,1,,T4 low
MIR100,non-coding,0,1,0,0,1,,T4 low
MIR107,non-coding,0,0,0,1,1,3.7,T4 low
MIR144,non-coding,0,0,0,1,1,3.69,T4 low
MIR146A,non-coding,0,1,0,0,1,,T4 low
MIR153-1,non-coding,0,0,0,1,1,3.7,T4 low
MIR15B,non-coding,0,0,0,1,1,3.7,T4 low
MIR17,non-coding,0,0,0,1,1,3.69,T4 low
MIR186,non-coding,0,0,0,1,1,3.7,T4 low
MIR20A,non-coding,0,0,0,1,1,3.68,T4 low
MIR24-1,non-coding,0,0,0,1,1,3.7,T4 low
MIR296,non-coding,0,1,0,0,1,,T4 low
MIR298,non-coding,0,0,0,1,1,3.7,T4 low
MIR29A,non-coding,0,0,0,1,1,3.7,T4 low
MIR29B1,non-coding,0,0,0,1,1,3.7,T4 low
MIR29C,non-coding,0,0,0,1,1,3.7,T4 low
MIR339,non-coding,0,0,0,1,1,3.7,T4 low
MIR361,non-coding,0,0,0,1,1,3.7,T4 low
MIR3622B,non-coding,0,1,0,0,1,,T4 low
MIR375,non-coding,0,1,0,0,1,,T4 low
MIR4467,non-coding,0,1,0,0,1,,T4 low
MIR455,non-coding,0,0,0,1,1,3.7,T4 low
MIR505,non-coding,0,1,0,0,1,,T4 low
MIR520C,non-coding,0,0,0,1,1,3.68,T4 low
MIR644A,non-coding,0,0,0,1,1,3.68,T4 low
MIR708,non-coding,0,1,0,0,1,,T4 low
MIR766,non-coding,0,1,0,0,1,,T4 low
MMEL1,protein-coding,1,0,0,0,1,,T4 low
MRC1,protein-coding,1,0,0,0,1,,T4 low
MTHFD1L,protein-coding,1,0,0,0,1,,T4 low
MTHFR,protein-coding,0,1,0,0,1,,T4 low
MTOR,protein-coding,1,0,0,0,1,,T4 low
MYO15A,protein-coding,1,0,0,0,1,,T4 low
NAGLU,protein-coding,0,0,0,1,1,3.93,T4 low
ND1,protein-coding,0,1,0,0,1,,T4 low
ND2,protein-coding,0,1,0,0,1,,T4 low
NDUFAF6,protein-coding,1,0,0,0,1,,T4 low
NECAB1,protein-coding,0,0,0,1,1,4.76,T4 low
NECAB2,protein-coding,0,0,0,1,1,3.99,T4 low
NECAB3,protein-coding,0,0,0,1,1,3.89,T4 low
NEFL,protein-coding,1,0,0,0,1,,T4 low
NEU2,protein-coding,0,0,0,1,1,4.62,T4 low
NFIC,protein-coding,1,0,0,0,1,,T4 low
NGF,protein-coding,1,0,0,0,1,,T4 low
NME8,protein-coding,0,0,0,1,1,4.03,T4 low
NPY,protein-coding,0,1,0,0,1,,T4 low
NTRK2,protein-coding,0,0,0,1,1,3.69,T4 low
NUP160,protein-coding,0,0,0,1,1,3.76,T4 low
OARD1,protein-coding,1,0,0,0,1,,T4 low
OSR1,protein-coding,0,0,0,1,1,3.74,T4 low
PAWR,protein-coding,0,0,0,1,1,3.75,T4 low
PCDH11X,protein-coding,0,1,0,0,1,,T4 low
PGRMC1,protein-coding,0,1,0,0,1,,T4 low
PIK3CB,protein-coding,1,0,0,0,1,,T4 low
PIK3CD,protein-coding,1,0,0,0,1,,T4 low
PIK3CG,protein-coding,1,0,0,0,1,,T4 low
PILRA,protein-coding,1,0,0,0,1,,T4 low
PIN1,protein-coding,0,0,0,1,1,3.8,T4 low
PINK1,protein-coding,1,0,0,0,1,,T4 low
PLEC,protein-coding,1,0,0,0,1,,T4 low
PLEKHA1,protein-coding,1,0,0,0,1,,T4 low
PPARG,protein-coding,0,1,0,0,1,,T4 low
PPP1R37,protein-coding,1,0,0,0,1,,T4 low
PPP5C,protein-coding,1,0,0,0,1,,T4 low
PRDM7,protein-coding,0,0,0,1,1,4.25,T4 low
PRKD3,protein-coding,1,0,0,0,1,,T4 low
PRKN,protein-coding,1,0,0,0,1,,T4 low
PRSS36,protein-coding,1,0,0,0,1,,T4 low
PTK2B,protein-coding,1,0,0,0,1,,T4 low
PXDN,protein-coding,1,0,0,0,1,,T4 low
PXDNL,protein-coding,1,0,0,0,1,,T4 low
PYY,protein-coding,0,1,0,0,1,,T4 low
RALGPS2,protein-coding,1,0,0,0,1,,T4 low
RANBP9,protein-coding,0,0,0,1,1,3.83,T4 low
RBCK1,protein-coding,1,0,0,0,1,,T4 low
RBFOX3,protein-coding,1,0,0,0,1,,T4 low
RELA,protein-coding,0,0,0,1,1,4.14,T4 low
RELN,protein-coding,0,1,0,0,1,,T4 low
REXO1,protein-coding,1,0,0,0,1,,T4 low
RIN3,protein-coding,0,0,0,1,1,3.86,T4 low
ROCK2,protein-coding,0,0,0,1,1,4.03,T4 low
RPA3,protein-coding,0,0,0,1,1,3.9,T4 low
RTN1,protein-coding,0,0,0,1,1,3.9,T4 low
RTN2,protein-coding,0,0,0,1,1,7.88,T4 low
RTN3,protein-coding,0,0,0,1,1,4.18,T4 low
RTN4,protein-coding,0,0,0,1,1,4.42,T4 low
SCARB2,protein-coding,1,0,0,0,1,,T4 low
SCIMP,protein-coding,1,0,0,0,1,,T4 low
SEC61G,protein-coding,0,0,0,1,1,4.16,T4 low
SERPINA3,protein-coding,1,0,0,0,1,,T4 low
SETD7,protein-coding,1,0,0,0,1,,T4 low
SHARPIN,protein-coding,1,0,0,0,1,,T4 low
SIGLEC11,protein-coding,1,0,0,0,1,,T4 low
SIRT1,protein-coding,1,0,0,0,1,,T4 low
SLC24A4,protein-coding,1,0,0,0,1,,T4 low
SLC26A1,protein-coding,1,0,0,0,1,,T4 low
SLC2A13,protein-coding,0,0,0,1,1,3.87,T4 low
SLC2A4,protein-coding,0,1,0,0,1,,T4 low
SLC2A4RG,protein-coding,1,0,0,0,1,,T4 low
SLC30A4,protein-coding,0,1,0,0,1,,T4 low
SLC30A6,protein-coding,0,1,0,0,1,,T4 low
SNAR-I,non-coding,0,1,0,0,1,,T4 low
SNCA,protein-coding,1,0,0,0,1,,T4 low
SNX1,protein-coding,1,0,0,0,1,,T4 low
SOAT1,protein-coding,0,0,0,1,1,3.87,T4 low
SOD1,protein-coding,1,0,0,0,1,,T4 low
SOD2,protein-coding,0,1,0,0,1,,T4 low
SORT1,protein-coding,1,0,0,0,1,,T4 low
SP1,protein-coding,0,0,0,1,1,4.15,T4 low
SPATC1,protein-coding,1,0,0,0,1,,T4 low
SPI1,protein-coding,1,0,0,0,1,,T4 low
SPON1,protein-coding,0,0,0,1,1,3.77,T4 low
SYN1,protein-coding,1,0,0,0,1,,T4 low
SYP,protein-coding,1,0,0,0,1,,T4 low
TARDBP,protein-coding,1,0,0,0,1,,T4 low
TF,protein-coding,0,1,0,0,1,,T4 low
TFAM,protein-coding,0,1,0,0,1,,T4 low
TH,protein-coding,1,0,0,0,1,,T4 low
TLR4,protein-coding,1,0,0,0,1,,T4 low
TMCC2,protein-coding,0,0,0,1,1,3.77,T4 low
TMED10,protein-coding,0,0,0,1,1,4.19,T4 low
TMEM106B,protein-coding,1,0,0,0,1,,T4 low
TMEM121,protein-coding,0,0,0,1,1,4.29,T4 low
TNFSF12-TNFSF13,protein-coding,1,0,0,0,1,,T4 low
TNFSF13,protein-coding,1,0,0,0,1,,T4 low
TNIP1,protein-coding,1,0,0,0,1,,T4 low
TPCN1,protein-coding,1,0,0,0,1,,T4 low
TPI1,protein-coding,0,1,0,0,1,,T4 low
TPP1,protein-coding,0,1,0,0,1,,T4 low
TRAPPC6A,protein-coding,1,0,0,0,1,,T4 low
TREML2,protein-coding,1,0,0,0,1,,T4 low
TSPAN14,protein-coding,1,0,0,0,1,,T4 low
ULK4,protein-coding,0,0,0,1,1,3.78,T4 low
UMAD1,protein-coding,1,0,0,0,1,,T4 low
UNC5CL,protein-coding,1,0,0,0,1,,T4 low
VEGFA,protein-coding,0,1,0,0,1,,T4 low
VSNL1,protein-coding,0,1,0,0,1,,T4 low
WDR12,protein-coding,1,0,0,0,1,,T4 low
WDR81,protein-coding,1,0,0,0,1,,T4 low
WWOX,protein-coding,0,1,0,0,1,,T4 low
YWHAQ,protein-coding,1,0,0,0,1,,T4 low
ZCWPW1,protein-coding,1,0,0,0,1,,T4 low
