model_entrez,model_symbol,human_entrez,human_symbol,species
117586,A1bg,1,A1BG,mouse
17960,Nat1,10,NAT2,mouse
17962,Nat3,10,NAT2,mouse
17961,Nat2,10,NAT2,mouse
11486,Ada,100,ADA,mouse
12558,Cdh2,1000,CDH2,mouse
23797,Akt3,10000,AKT3,mouse
69792,Med6,10001,MED6,mouse
23958,Nr2e3,10002,NR2E3,mouse
72560,Naalad2,10003,NAALAD2,mouse
278672,Duxbl1,100033411,DUXB,mouse
13202,Ddt,100037417,DDT|DDTL,mouse
381204,Naaladl1,10004,NAALADL1,mouse
233186,Siglecf,100049587,SIGLEC14,mouse
170789,Acot8,10005,ACOT8,mouse
11308,Abi1,10006,ABI1,mouse
26384,Gnpda1,10007,GNPDA1,mouse
57442,Kcne3,10008,KCNE3,mouse
56805,Zbtb33,10009,ZBTB33,mouse
69895,Snhg8,100093630,SNHG8,mouse
12560,Cdh3,1001,CDH3,mouse
21353,Tank,10010,TANK,mouse
107939,Pom121,100101267,POM121C,mouse
330228,Spdye4b,100101268,SPDYE12,mouse
74673,Spdye4a,100101268,SPDYE12,mouse
328918,Zscan30,100101467,ZSCAN30,mouse
66405,Mcts2,100101490,MCTS2,mouse
68995,Mcts1,100101490,MCTS2,mouse
24068,Sra1,10011,SRA1,mouse
115490071,Gm24837,100113379,SNORD121A,mouse
115487312,Gm23008,100113382,SNORD105B,mouse
621976,Tmem170b,100113407,TMEM170B,mouse
115489637,Gm22676,100124540,SNORA11C,mouse
100503872,Hotair,100124700,HOTAIR,mouse
100009600,Zglp1,100125288,ZGLP1,mouse
791069,Mir301b,100126318,MIR301B,mouse
735308,Mir216b,100126319,MIR216B,mouse
735284,Mir708,100126333,MIR708,mouse
100124433,Mir208b,100126336,MIR208B,mouse
100124491,Mir874,100126343,MIR874,mouse
723899,Mir365-1,100126355,MIR365A,mouse
76743,Gje1,100126572,GJE1,mouse
225583,Minar2,100127206,MINAR2,mouse
100038514,Gm11837,100127983,C8orf88,mouse
68233,Fam229a,100128071,FAM229A,mouse
692132,Trappc3l,100128327,TRAPPC3L,mouse
338320,Mia2,100128553,CTAGE4,mouse
432479,4930404N11Rik,100128569,TEKTIP1,mouse
67695,Ost4,100128731,OST4,mouse
101056084,Cirop,100128908,CIROP,mouse
382639,Zbtb42,100128927,ZBTB42,mouse
368204,Khdc1a,100129128,KHDC1L,mouse
433278,Khdc1c,100129128,KHDC1L,mouse
98582,Khdc1b,100129128,KHDC1L,mouse
100504309,Smim27,100129250,SMIM27,mouse
66533,2310050C09Rik,100129271,C1orf68,mouse
381820,Smim10l1,100129361,SMIM10L1,mouse
70291,Mkrn2os,100129480,MKRN2OS,mouse
100039899,Tex13d,100129520,TEX13C,mouse
637093,Tex13c1,100129520,TEX13C,mouse
384198,Fam47e,100129583,FAM47E,mouse
100039596,Tcf24,100129654,TCF24,mouse
69314,Izumo3,100129669,IZUMO3,mouse
100039139,Ccdc152,100129792,CCDC152,mouse
75180,Tmem269,100129924,TMEM269,mouse
277773,Fam205c,100129969,FAM205C,mouse
15185,Hdac6,10013,HDAC6,mouse
76974,Urah,100130015,URAHP,mouse
54128,Pmm2,100130283,PMM2|LOC100130283,mouse
75799,4930444P10Rik,100130301,C8orf89,mouse
668433,4930544D05Rik,100130311,C17orf107,mouse
433215,Tmem262,100130348,TMEM262,mouse
434325,Tmem221,100130519,TMEM221,mouse
68800,Prr32,100130613,PRR32,mouse
668210,Atp6v1fnb,100130705,ATP6V1FNB,mouse
73314,Lrrc69,100130742,LRRC69,mouse
75040,Efcab10,100130771,EFCAB10,mouse
381835,Sbk3,100130827,SBK3,mouse
77032,Tstd3,100130890,TSTD3,mouse
68528,Smim6,100130933,SMIM6,mouse
668110,Syce1l,100130958,SYCE1L,mouse
73862,Spata48,100130988,SPATA48,mouse
54201,Zfp316,100131017,ZNF316,mouse
330470,Bsph1,100131137,BSPH1,mouse
226654,Tstd1,100131187,TSTD1,mouse
227094,Nemp2,100131211,NEMP2,mouse
383787,Ankrd63,100131244,ANKRD63,mouse
