entity_type,entity,entity_id,biotype,relationship,sources,n_sources,evidence_types,best_score,score_type,tissue_celltype,confidence_tier,notes
gene,ADCY3,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,AFF1,,protein-coding,associated_with_MS,spoke-okn;digcfdekg,2,curated_link;statistical_association;measured_activity_change,3.86,PIGEAN/EAGGL_weight,,T2 high,also differentially expressed in MS blood (GXA)
gene,AGAP2,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,AGBL2,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,AHI1,,protein-coding,associated_with_MS,spoke-okn;digcfdekg,2,curated_link;statistical_association,3.81,PIGEAN/EAGGL_weight,,T2 high,
gene,AIF1,,protein-coding,associated_with_MS,spoke-okn,1,curated_link;measured_activity_change,,source_count,,T4 low,also DE in MS blood (down in lymphocyte)
gene,ALPK2,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,ANKRD55,,protein-coding,associated_with_MS,spoke-okn;digcfdekg,2,curated_link;statistical_association,5.07,PIGEAN/EAGGL_weight,,T2 high,
gene,APOE,,protein-coding,associated_with_MS,rdkg,1,curated_link,,source_count,,T4 low,
gene,ATXN1,,protein-coding,associated_with_MS,spoke-okn;digcfdekg,2,curated_link;statistical_association,3.86,PIGEAN/EAGGL_weight,,T2 high,
gene,ATXN2,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,BACH2,,protein-coding,associated_with_MS,spoke-okn;digcfdekg,2,curated_link;statistical_association,5.77,PIGEAN/EAGGL_weight,,T2 high,
gene,BATF,,protein-coding,associated_with_MS,spoke-okn;digcfdekg,2,curated_link;statistical_association,7.68,PIGEAN/EAGGL_weight,,T2 high,
gene,BATF3,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,4.99,PIGEAN/EAGGL_weight,,T4 low,
gene,BCHE,,protein-coding,associated_with_MS,rdkg,1,curated_link,,source_count,,T4 low,
gene,BCL10,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,6.93,PIGEAN/EAGGL_weight,,T4 low,
gene,BCL2,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,5.85,PIGEAN/EAGGL_weight,,T4 low,
gene,BCL6,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,4.89,PIGEAN/EAGGL_weight,,T4 low,
gene,BDNF,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,BLK,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,5.02,PIGEAN/EAGGL_weight,,T4 low,
gene,BRD10,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,BTK,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,3.83,PIGEAN/EAGGL_weight,,T4 low,
gene,BTNL2,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,C1orf106,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,3.69,PIGEAN/EAGGL_weight,,T4 low,
gene,CARD11,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,7.58,PIGEAN/EAGGL_weight,,T3 medium,
gene,CASP1,,protein-coding,associated_with_MS,rdkg,1,curated_link,,source_count,,T4 low,
gene,CASP8,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,4.21,PIGEAN/EAGGL_weight,,T4 low,
gene,CBLB,,protein-coding,associated_with_MS,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,5.13,PIGEAN/EAGGL_weight,,T1 very-high,
gene,CCL2,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CCR4,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,5.11,PIGEAN/EAGGL_weight,,T4 low,
gene,CCR6,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,4.15,PIGEAN/EAGGL_weight,,T4 low,
gene,CCR7,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,4.09,PIGEAN/EAGGL_weight,,T4 low,
gene,CD19,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,4.96,PIGEAN/EAGGL_weight,,T4 low,
gene,CD2,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,4.35,PIGEAN/EAGGL_weight,,T4 low,
gene,CD22,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,3.78,PIGEAN/EAGGL_weight,,T4 low,
gene,CD226,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CD27,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,9.07,PIGEAN/EAGGL_weight,,T3 medium,
gene,CD28,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,10.6,PIGEAN/EAGGL_weight,,T3 medium,
gene,CD37,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,7.88,PIGEAN/EAGGL_weight,,T3 medium,
gene,CD3D,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,4.41,PIGEAN/EAGGL_weight,,T4 low,
gene,CD3E,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,4.63,PIGEAN/EAGGL_weight,,T4 low,
gene,CD3G,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,3.46,PIGEAN/EAGGL_weight,,T4 low,
gene,CD4,,protein-coding,associated_with_MS,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,CD40,,protein-coding,associated_with_MS,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,8.73,PIGEAN/EAGGL_weight,,T1 very-high,
gene,CD48,,protein-coding,associated_with_MS,digcfdekg,1,statistical_association,3.6,PIGEAN/EAGGL_weight,,T4 low,
