assay	gene	mouse_symbol	human	human_symbol	human_taxonomy	osd	mouse_entrez	human_entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-137-2d49c2d99e55a9e2c2729122a7521106	http://www.ncbi.nlm.nih.gov/gene/102436	Lars2	http://www.ncbi.nlm.nih.gov/gene/23395	LARS2	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-137	102436	23395
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-137-2d49c2d99e55a9e2c2729122a7521106	http://www.ncbi.nlm.nih.gov/gene/11790	Speg	http://www.ncbi.nlm.nih.gov/gene/10290	SPEG	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-137	11790	10290
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-137-2d49c2d99e55a9e2c2729122a7521106	http://www.ncbi.nlm.nih.gov/gene/20312	Cx3cl1	http://www.ncbi.nlm.nih.gov/gene/6376	CX3CL1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-137	20312	6376
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100037278	Niban3	http://www.ncbi.nlm.nih.gov/gene/199786	NIBAN3	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100037278	199786
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100038347	Fam174b	http://www.ncbi.nlm.nih.gov/gene/400451	FAM174B	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100038347	400451
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100039681	Zcwpw2	http://www.ncbi.nlm.nih.gov/gene/152098	ZCWPW2	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100039681	152098
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100039795	Ildr2	http://www.ncbi.nlm.nih.gov/gene/387597	ILDR2	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100039795	387597
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100072	Camta1	http://www.ncbi.nlm.nih.gov/gene/23261	CAMTA1	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100072	23261
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100087	Kti12	http://www.ncbi.nlm.nih.gov/gene/112970	KTI12	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100087	112970
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/100102	Pcsk9	http://www.ncbi.nlm.nih.gov/gene/255738	PCSK9	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSD-25	100102	255738
