trait,tlabel,n_genes
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e3afb0a53854773fc80c,PC3 dietary pattern,16
http://www.orpha.net/ORDO/Orphanet_271853,Genetic cardiac anomaly,16
http://www.ebi.ac.uk/efo/EFO_0022314,total lipids in VLDL measurement,16
http://www.orpha.net/ORDO/Orphanet_309,Familial partial epilepsy,16
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e21a4de0de7e57a4ea9c,Kidney stone disease,16
http://www.orpha.net/ORDO/Orphanet_307064,Rare genetic myoclonus,16
http://www.ebi.ac.uk/efo/EFO_0022154,phospholipids in medium VLDL measurement,16
http://www.orpha.net/ORDO/Orphanet_93436,Acromelic dysplasia,16
https://purl.org/okn/frink/kg/digcfdekg/node/trait/eaea60920c507d1ea339,Smoking-T2D interaction,16
https://purl.org/okn/frink/kg/digcfdekg/node/trait/29a0fba9a07b1fa3f980,erythrocyte measurement,16
http://www.orpha.net/ORDO/Orphanet_496924,Non-inflammatory vasculopathy,16
http://www.ebi.ac.uk/efo/EFO_0022256,cholesteryl esters to total lipids in small VLDL percentage,16
http://www.ebi.ac.uk/efo/EFO_0022237,cholesterol to total lipids in medium HDL percentage,16
http://www.orpha.net/ORDO/Orphanet_485382,Rare genetic premature ovarian failure,16
http://www.ebi.ac.uk/efo/EFO_0022233,cholesterol to total lipids in IDL percentage,16
http://www.orpha.net/ORDO/Orphanet_519306,Isolated progressive inherited retinal disorder,16
http://www.orpha.net/ORDO/Orphanet_519331,Secondary early-onset glaucoma,16
http://www.ebi.ac.uk/efo/EFO_0022228,cholesterol in small VLDL measurement,16
http://www.orpha.net/ORDO/Orphanet_519355,Rare ocular motility/alignment disorder,16
http://www.orpha.net/ORDO/Orphanet_399877,Rare female infertility due to gonadal dysgenesis,16
http://www.orpha.net/ORDO/Orphanet_520817,Isolated inherited retinal disorder,16
http://www.ebi.ac.uk/efo/EFO_0022189,total lipids in large HDL,16
http://www.orpha.net/ORDO/Orphanet_399786,Male infertility with spermatogenesis disorder due to single gene mutation,16
http://www.ebi.ac.uk/efo/EFO_0022277,free cholesterol to total lipids in chylomicrons and extremely large VLDL percentage,16
http://www.orpha.net/ORDO/Orphanet_399685,Rare male infertility due to testicular endocrine disorder,16
http://www.orpha.net/ORDO/Orphanet_364803,Rare bone disease related to a common gene or pathway defect,16
http://www.orpha.net/ORDO/Orphanet_568047,Disorder with multisystemic involvement and primary lymphedema,16
http://www.ebi.ac.uk/efo/EFO_0022291,phosphoglycerides measurement,16
http://www.ebi.ac.uk/efo/EFO_0022175,total lipids in large VLDL,16
http://www.orpha.net/ORDO/Orphanet_522526,Rare genetic palpebral disorder,16
http://www.ebi.ac.uk/efo/EFO_0022169,phospholipids in large VLDL measurement,16
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9eb30b32592d49021a29,very low density lipoprotein cholesterol measurement,16
http://www.ebi.ac.uk/efo/EFO_0021903,cholesterol in medium HDL measurement,16
http://www.ebi.ac.uk/efo/EFO_0022249,cholesteryl esters to total lipids in large LDL percentage,16
http://www.orpha.net/ORDO/Orphanet_156165,Retinal ciliopathy,16
http://www.ebi.ac.uk/efo/EFO_0010116,choline measurement,16
http://www.orpha.net/ORDO/Orphanet_183490,Genetic photodermatosis,16
https://purl.org/okn/frink/kg/digcfdekg/node/trait/bc10ce697cc3f0ead506,Right atrial minimum area,16
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7a70574644e8f9cd0e3e,Clonal haematopoiesis of indeterminate potential (SF3B1 mutation),16
http://www.ebi.ac.uk/efo/EFO_0005680,omega-6 polyunsaturated fatty acid measurement,16
http://www.orpha.net/ORDO/Orphanet_217595,Syndrome associated with hypertrophic cardiomyopathy,16
http://www.orpha.net/ORDO/Orphanet_156610,Rare genetic respiratory disease,16
http://www.orpha.net/ORDO/Orphanet_248315,Rare hemorrhagic disorder due to a coagulation factors defect,16
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d3989d113d969a3a0857,Total knee replacement,16
http://www.orpha.net/ORDO/Orphanet_79168,Disorder of bile acid synthesis,16
http://www.ebi.ac.uk/efo/EFO_0022247,cholesteryl esters to total lipids in IDL percentage,16
http://www.orpha.net/ORDO/Orphanet_183592,Genetic renal tubular disease,16
https://purl.org/okn/frink/kg/digcfdekg/node/trait/030f87d989747e55efab,CT Visual Scoring; wall thickening (binary),16
http://www.orpha.net/ORDO/Orphanet_98746,Neurological channelopathy of the central nervous system due to a genetic potassium channel defect,16
http://www.orpha.net/ORDO/Orphanet_117573,Syndromic anorectal malformation,16
https://purl.org/okn/frink/kg/digcfdekg/node/trait/bb8b9e24b533f8fb8cb6,Mean platelet volume,16
http://www.orpha.net/ORDO/Orphanet_253,Spondyloepiphyseal dysplasia and spondyloepimetaphyseal dysplasia,16
http://www.ebi.ac.uk/efo/EFO_0004627,IGF-1 measurement,16
http://www.orpha.net/ORDO/Orphanet_101985,Quantitative and/or qualitative congenital phagocyte defect,16
http://www.orpha.net/ORDO/Orphanet_98560,Rare palpebral disorder,16
http://www.ebi.ac.uk/efo/EFO_0011013,vaginal microbiome measurement,16
http://www.orpha.net/ORDO/Orphanet_68334,Rare hemorrhagic disorder due to a constitutional coagulation factors defect,16
http://www.orpha.net/ORDO/Orphanet_251558,Rare tumor of neuroepithelial tissue,16
https://purl.org/okn/frink/kg/digcfdekg/node/trait/75b10b0b577b3d03371c,Aggregate vessel volume; vessels 35-40 mm2,16
http://www.ebi.ac.uk/efo/EFO_0022327,triglycerides to phosphoglycerides ratio,16
http://www.orpha.net/ORDO/Orphanet_166472,Monogenic disease with epilepsy,15
http://www.orpha.net/ORDO/Orphanet_102002,Rare ataxia,15
http://www.orpha.net/ORDO/Orphanet_93603,Rare renal tubular disease,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/82b37f47c49453515ba0,Right ventricular end-systolic volume,15
http://www.orpha.net/ORDO/Orphanet_163631,Bile acid synthesis defect with cholestasis and malabsorption,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/6362eacba3a5a5d6e200,Serum ApoA1,15
http://www.ebi.ac.uk/efo/EFO_0803539,basophil measurement,15
http://www.orpha.net/ORDO/Orphanet_1172,Autosomal recessive cerebellar ataxia,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8ecdd38f955f72db7c41,reticulocyte measurement,15
http://www.orpha.net/ORDO/Orphanet_87884,Non-syndromic genetic deafness,15
http://www.orpha.net/ORDO/Orphanet_519351,Rare optic nerve disorder,15
http://www.ebi.ac.uk/efo/EFO_0022268,free cholesterol in medium LDL measurement,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/63095bd014b217e78cf0,Pulmonary artery to aorta ratio; diastole,15
http://www.orpha.net/ORDO/Orphanet_90636,Rare autosomal recessive non-syndromic sensorineural deafness type DFNB,15
http://www.ebi.ac.uk/efo/EFO_0022264,free cholesterol in HDL measurement,15
http://www.orpha.net/ORDO/Orphanet_182064,Rare neuroinflammatory or neuroimmunological disease,15
http://www.orpha.net/ORDO/Orphanet_264735,Interstitial lung disease specific to adulthood,15
http://www.ebi.ac.uk/efo/EFO_0022293,phospholipids in HDL measurement,15
http://www.ebi.ac.uk/efo/EFO_0022296,phospholipids in small HDL measurement,15
http://www.orpha.net/ORDO/Orphanet_269550,Genetic non-syndromic central nervous system malformation,15
http://www.ebi.ac.uk/efo/EFO_0022326,triglycerides in VLDL measurement,15
http://www.ebi.ac.uk/efo/EFO_0022325,triglycerides in very large VLDL measurement,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/86ff4e8e8b661373c88b,Highlight scatter reticulocyte count,15
http://www.orpha.net/ORDO/Orphanet_280892,Posterior uveitis,15
http://www.orpha.net/ORDO/Orphanet_95495,Disease associated with non-acquired combined pituitary hormone deficiency,15
http://www.orpha.net/ORDO/Orphanet_280930,Systemic diseases with posterior uveitis,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5e67fe88925451b4cf5c,Total polyunsaturated fatty acids,15
http://www.ebi.ac.uk/efo/EFO_0022321,triglycerides in medium HDL measurement,15
http://www.orpha.net/ORDO/Orphanet_285014,Rare disease with thoracic aortic aneurysm and aortic dissection,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/971ac4725df7e9595a20,Self-rated health,15
http://www.orpha.net/ORDO/Orphanet_68363,Rare dystonia,15
http://www.orpha.net/ORDO/Orphanet_233655,Rare genetic vascular disease,15
http://www.orpha.net/ORDO/Orphanet_300755,Laminopathy with striated muscle involvement,15
http://www.orpha.net/ORDO/Orphanet_536,Systemic lupus erythematosus,15
http://www.orpha.net/ORDO/Orphanet_226295,Primary congenital hypothyroidism,15
http://www.orpha.net/ORDO/Orphanet_306747,Rare myoclonus,15
http://www.orpha.net/ORDO/Orphanet_523000,Pediatric-onset glaucoma,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/7bea137a2655bd82de7f,Posterior thigh muscle fat infiltration percentage,15
http://www.orpha.net/ORDO/Orphanet_791,Retinitis pigmentosa,15
http://www.orpha.net/ORDO/Orphanet_207018,Rare hereditary metabolic disease with peripheral neuropathy,15
http://www.orpha.net/ORDO/Orphanet_264740,Primary interstitial lung disease specific to adulthood,15
http://www.orpha.net/ORDO/Orphanet_183518,Hereditary ataxia,15
http://www.orpha.net/ORDO/Orphanet_359,Pediatric-onset glaucoma of genetic origin,15
http://www.orpha.net/ORDO/Orphanet_183494,Genetic immune deficiency with skin involvement,15
http://www.orpha.net/ORDO/Orphanet_206656,Non-dystrophic myopathy,15
http://www.orpha.net/ORDO/Orphanet_183466,Genetic hyperpigmentation of the skin,15
http://www.orpha.net/ORDO/Orphanet_98539,Early-onset ataxia with dementia,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/334e718c83652ec7edc8,Short-axis root (cm),15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0c1cc89d1db5cca75b9a,Short-axis pulmonary artery (cm),15
http://www.ebi.ac.uk/efo/EFO_0022187,monounsaturated fatty acids; 16:1; 18:1 measurement,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/cfa97c19fdfc458ae15d,Adrenal hypofunction,15
http://purl.obolibrary.org/obo/MONDO_0005083,psoriasis,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/032c19bd7348f57a68cd,Maternal genetic effect on offspring birth weight adj fetal genotype,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/26a803d268a7c4926675,Motor fluctuations in Parkinson's disease,15
http://www.ebi.ac.uk/efo/EFO_0022183,phospholipids in medium LDL measurement,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f2e3a6a636b7eed5a1a9,Type 2 diabetes with ketoacidosis,15
http://www.orpha.net/ORDO/Orphanet_98301,Laminopathy,15
http://www.ebi.ac.uk/efo/EFO_0007984,platelet component distribution width,15
http://www.orpha.net/ORDO/Orphanet_98300,Idiopathic interstitial pneumonia,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/05da5b906bbe0fbf4775,Percentage of sleep with oxyhemoglobin saturation (SpO2) under 90%,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/34241f0d0d2e86e026ff,Left ventricular end systole anterior wall thickness,15
http://www.ebi.ac.uk/efo/EFO_0022179,total cholesterol in small LDL,15
http://www.ebi.ac.uk/efo/EFO_0021902,cholesterol in large VLDL measurement,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/097aeec09ee173db6657,HOMA-IR at V2 minus HOMA-IR at V1,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/1f3b061e24fb599a217f,phospholipid measurement,15
https://purl.org/okn/frink/kg/digcfdekg/node/trait/1cf8cefc2c8b84a4a541,Uterine fibroids,15
http://www.orpha.net/ORDO/Orphanet_522516,Rare genetic ocular motility/alignment disorder,14
http://purl.obolibrary.org/obo/MONDO_0005150,Age-related macular degeneration (AMD),14
http://www.orpha.net/ORDO/Orphanet_181390,Endocrinopathy with congenital hypogonadotropic hypogonadism as a major feature,14
http://www.orpha.net/ORDO/Orphanet_93434,Spondylodysplastic dysplasia,14
http://www.ebi.ac.uk/efo/EFO_0010732,omega-6:omega-3 polyunsaturated fatty acid ratio,14
http://www.orpha.net/ORDO/Orphanet_101934,Genetic cardiac rhythm disease,14
http://www.ebi.ac.uk/efo/EFO_0010815,remnant cholesterol measurement,14
http://www.orpha.net/ORDO/Orphanet_522512,Rare genetic optic nerve disorder,14
http://www.orpha.net/ORDO/Orphanet_183669,Agammaglobulinemia,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8ab8124a2bc49fae99e0,phosphatidylcholine measurement,14
http://www.orpha.net/ORDO/Orphanet_404574,Genetic syndrome with limb reduction defects,14
http://www.ebi.ac.uk/efo/EFO_0022339,triglycerides to total lipids in very large HDL percentage,14
http://www.orpha.net/ORDO/Orphanet_218436,Rare cardiac rhythm disease,14
http://www.orpha.net/ORDO/Orphanet_95710,Rare non-acquired premature ovarian failure,14
http://purl.obolibrary.org/obo/HP_0032551,Hemorrhoids (recessive model),14
http://www.orpha.net/ORDO/Orphanet_420755,Rare genetic odontal or periodontal disorder,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/93e0ea9ae9f1fe1c5381,mean platelet volume,14
http://www.ebi.ac.uk/efo/EFO_0021117,androsterone sulfate measurement,14
http://www.orpha.net/ORDO/Orphanet_93450,Primary bone dysplasia with disorganized development of skeletal components,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/30492d6d958ce6621a0b,facial morphology measurement,14
http://www.ebi.ac.uk/efo/EFO_0005213,Central corneal thickness,14
http://www.orpha.net/ORDO/Orphanet_93546,Non-syndromic renal or urinary tract malformation,14
http://www.orpha.net/ORDO/Orphanet_391799,Rare genetic dystonia,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5721e44b2cee09c106c6,Aggregate vessel volume; vessels 10-15 mm2,14
http://www.orpha.net/ORDO/Orphanet_522532,Rare genetic disorder of the lacrimal apparatus,14
http://www.orpha.net/ORDO/Orphanet_522528,Rare genetic eyelid malposition disorder,14
http://www.orpha.net/ORDO/Orphanet_519272,Structural developmental eye defect,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/1719f62d34adde9d2e47,insomnia,14
http://www.orpha.net/ORDO/Orphanet_522536,Structural developmental eye defect of genetic origin,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e736426abb5b0de92326,Urinary sodium excretion,14
http://www.orpha.net/ORDO/Orphanet_164001,Rare odontal or periodontal disorder,14
http://purl.obolibrary.org/obo/OBA_1000032,Hip circumference,14
http://www.orpha.net/ORDO/Orphanet_98681,Rare disorder with strabismus,14
http://www.orpha.net/ORDO/Orphanet_98683,Syndromic disorder with strabismus,14
http://www.orpha.net/ORDO/Orphanet_280933,Systemic diseases with panuveitis,14
http://www.orpha.net/ORDO/Orphanet_182067,Glial tumor,14
http://www.orpha.net/ORDO/Orphanet_280898,Panuveitis,14
http://www.orpha.net/ORDO/Orphanet_98749,Neurological channelopathy of the central nervous system due to a genetic GABA receptor defect,14
http://www.ebi.ac.uk/efo/EFO_0008595,intermediate density lipoprotein measurement,14
http://www.ebi.ac.uk/efo/EFO_0008579,risk-taking behaviour,14
http://www.orpha.net/ORDO/Orphanet_79363,Hair anomaly,14
http://www.orpha.net/ORDO/Orphanet_567560,Systemic vasculitis associated with glomerulopathy,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/47c5626d20875daeb186,Shoulder width to body height ratio,14
http://www.orpha.net/ORDO/Orphanet_99739,Rare familial disorder with hypertrophic cardiomyopathy,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c4680c71be679972d18f,blood urea nitrogen measurement,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/6f1990fcaa7659418313,diglyceride measurement,14
http://www.orpha.net/ORDO/Orphanet_294955,Syndrome with limb reduction defects,14
http://www.orpha.net/ORDO/Orphanet_98602,Rare disorder of the lacrimal apparatus,14
http://www.orpha.net/ORDO/Orphanet_98538,Ataxia with dementia,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d219a39efda0490da8a1,Disposition index calculated by modified insulinogenic and Matsuda insulin sensitivity indexes,14
http://www.orpha.net/ORDO/Orphanet_98567,Rare eyelid malposition disorder,14
http://www.orpha.net/ORDO/Orphanet_104010,Intestinal polyposis syndrome,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/2aa93d4e6bdc9077466d,Salt addition to food,14
http://www.ebi.ac.uk/efo/EFO_0004732,lipoprotein measurement,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c710371556f10751b6f4,cholesterol esters in large VLDL measurement,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/dd6f5b48fcf400119cf0,sclerosing cholangitis,14
http://www.ebi.ac.uk/efo/EFO_0004713,FEV/FVC ratio,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/83fff81882c6530d044c,Parental longevity (both parents in top 10%),14
http://www.orpha.net/ORDO/Orphanet_155832,Rare head and neck malformation,14
http://www.orpha.net/ORDO/Orphanet_306636,Rare tumor of liver and intrahepatic biliary tract,14
http://www.orpha.net/ORDO/Orphanet_156168,Retinal ciliopathy due to mutation in the retinitis pigmentosa-1 gene,14
http://www.orpha.net/ORDO/Orphanet_156171,Retinal ciliopathy due to mutation in the RPGR gene,14
http://www.ebi.ac.uk/efo/EFO_0022337,triglycerides to total lipids in small LDL percentage,14
http://www.orpha.net/ORDO/Orphanet_522510,Rare genetic ophthalmic disorder with cranial nerve involvement,14
http://www.ebi.ac.uk/efo/EFO_0022282,free cholesterol to total lipids in medium HDL percentage,14
http://www.ebi.ac.uk/efo/EFO_0006807,linoleic acid measurement,14
http://www.ebi.ac.uk/efo/EFO_0022174,phospholipids in large LDL measurement,14
http://www.ebi.ac.uk/efo/EFO_0022318,triglycerides in large HDL measurement,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/41499c33fa4ae13fb6e8,alcohol consumption measurement,14
http://www.ebi.ac.uk/efo/EFO_0022288,free cholesterol to total lipids in very large HDL percentage,14
http://www.ebi.ac.uk/efo/EFO_0022301,phospholipids in VLDL measurement,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/4080c3d112bbb5dc7053,HDL3 cholesterol,14
http://www.ebi.ac.uk/efo/EFO_0022316,triglycerides in chylomicrons and extremely large VLDL measurement,14
http://www.ebi.ac.uk/efo/EFO_0006527,smoking status measurement,14
http://www.ebi.ac.uk/efo/EFO_0022280,free cholesterol to total lipids in large LDL percentage,14
http://www.orpha.net/ORDO/Orphanet_77830,Rare genetic odontologic disease,14
https://purl.org/okn/frink/kg/digcfdekg/node/trait/fae0927469a221a21748,Fresh fruit consumption,14
http://www.orpha.net/ORDO/Orphanet_399764,Male infertility due to gonadal dysgenesis or sperm disorder,13
http://www.ebi.ac.uk/efo/EFO_0009188,Red cell distribution width,13
http://www.ebi.ac.uk/efo/EFO_0022260,concentration of chylomicrons and extremely large VLDL particles measurement,13
http://www.ebi.ac.uk/efo/EFO_0022299,phospholipids in very large VLDL measurement,13
http://www.ebi.ac.uk/efo/EFO_0022167,total cholesterol in large LDL,13
http://www.orpha.net/ORDO/Orphanet_93573,Thrombotic microangiopathy,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/2fb38d8bd3b0430f6192,Frequent insomnia symptoms,13
http://www.orpha.net/ORDO/Orphanet_98203,Combined dystonia,13
http://www.ebi.ac.uk/efo/EFO_0022310,total lipids in medium HDL measurement,13
http://www.orpha.net/ORDO/Orphanet_98258,Infantile epilepsy syndrome,13
http://www.ebi.ac.uk/efo/EFO_0022302,polyunsaturated fatty acids to monounsaturated fatty acids ratio,13
http://www.ebi.ac.uk/efo/EFO_0022164,phospholipids in IDL measurement,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/da1c22116c248d04ad03,Short-axis diastolic pulmonary artery (cm),13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/bf464f2795f6c0e8d0e7,More confluent regions of emphysema within the secondary pulmonary lobule,13
http://www.ebi.ac.uk/efo/EFO_0022163,total lipids in large LDL,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/817168e05f7e9d95f7a2,cholesterol esters in large LDL measurement,13
http://www.ebi.ac.uk/efo/EFO_0022161,total lipids in IDL,13
http://www.orpha.net/ORDO/Orphanet_285657,Disorder of folate metabolism and transport,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/c410e9b237f08074c92a,Log (glucose at 240 min - trough glucose) over (time to glucose trough),13
http://www.ebi.ac.uk/efo/EFO_0022255,cholesteryl esters to total lipids in small LDL percentage,13
http://www.orpha.net/ORDO/Orphanet_166484,Inflammatory and autoimmune disease with epilepsy,13
http://www.orpha.net/ORDO/Orphanet_399771,Male infertility due to sperm disorder,13
http://www.orpha.net/ORDO/Orphanet_519302,Isolated macular dystrophy,13
http://www.ebi.ac.uk/efo/EFO_0022263,free cholesterol in chylomicrons and extremely large VLDL measurement,13
http://www.orpha.net/ORDO/Orphanet_264699,Secondary interstitial lung disease specific to childhood associated with a systemic disease,13
http://www.orpha.net/ORDO/Orphanet_357506,Genetic non-syndromic renal or urinary tract malformation,13
http://www.ebi.ac.uk/efo/EFO_0009930,Calcium channel blocker use measurement,13
http://www.ebi.ac.uk/efo/EFO_0009931,Agents acting on the renin-angiotensin system use measurement,13
http://www.ebi.ac.uk/efo/EFO_0004704,age at menopause,13
http://www.orpha.net/ORDO/Orphanet_306666,Rare parkinsonian syndrome due to neurodegenerative disease,13
http://www.ebi.ac.uk/efo/EFO_0022275,free cholesterol in very small VLDL measurement,13
http://www.orpha.net/ORDO/Orphanet_154,Familial isolated dilated cardiomyopathy,13
http://www.orpha.net/ORDO/Orphanet_498448,Overgrowth or tall stature syndrome with skeletal involvement,13
http://www.orpha.net/ORDO/Orphanet_498454,Dysostosis with brachydactyly with extraskeletal manifestations,13
http://www.orpha.net/ORDO/Orphanet_183450,Genetic hair anomaly,13
http://www.orpha.net/ORDO/Orphanet_68329,Rare maxillo-facial surgical disease,13
http://www.ebi.ac.uk/efo/EFO_0022278,free cholesterol to total lipids in IDL percentage,13
http://www.orpha.net/ORDO/Orphanet_748,Mendelian susceptibility to mycobacterial diseases,13
http://www.ebi.ac.uk/efo/EFO_0004682,QT interval,13
http://www.orpha.net/ORDO/Orphanet_324953,Unclassified autoinflammatory syndrome of childhood,13
http://www.orpha.net/ORDO/Orphanet_325055,46;XX disorder of gonadal development,13
http://www.orpha.net/ORDO/Orphanet_325638,Syndrome with difference of sex development of gynecological interest,13
http://www.orpha.net/ORDO/Orphanet_207085,Qualitative or quantitative defects of dystrophin,13
http://www.ebi.ac.uk/efo/EFO_0004761,uric acid measurement,13
http://www.orpha.net/ORDO/Orphanet_98555,Microphthalmia-anophthalmia-coloboma,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/85f751aaf23093fc0996,Torso length to body height ratio,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/bd5de503f575d35fd76a,Dehydroepiandrosterone sulfate levels,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/1778158f72f3bb8b08bc,myocardial infarction,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b32c1147573cd63b2ed7,Keratoconus,13
http://www.ebi.ac.uk/efo/EFO_0022292,phospholipids in chylomicrons and extremely large VLDL measurement,13
http://www.orpha.net/ORDO/Orphanet_98096,Autosomal recessive metabolic cerebellar ataxia,13
http://www.orpha.net/ORDO/Orphanet_93593,Nephropathy secondary to a storage or other metabolic disease,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/4e14fdadd9125e849e7f,COPD (ICD defined),13
http://www.orpha.net/ORDO/Orphanet_68402,Rare parkinsonian disorder,13
http://www.ebi.ac.uk/efo/EFO_0022158,triglycerides in small HDL measurement,13
http://www.ebi.ac.uk/efo/EFO_0021898,cholesterol in chylomicrons and extremely large VLDL measurement,13
http://www.orpha.net/ORDO/Orphanet_519319,Isolated stationary inherited retinal disorder,13
http://purl.obolibrary.org/obo/MONDO_0001336,familial hyperlipidemia,13
http://www.orpha.net/ORDO/Orphanet_217569,Rare hypertrophic cardiomyopathy,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/3fda367438de46ec1be9,Slicer Insp Intensity Hu Mode,13
http://www.orpha.net/ORDO/Orphanet_96346,Anorectal malformation,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/937e213db6f663ae25c7,telomere length,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/98ac93c6a4834b30e570,Celiac disease,13
http://purl.obolibrary.org/obo/MONDO_0002442,Long QT syndrome,13
http://www.orpha.net/ORDO/Orphanet_95503,Pituitary hormone deficiency of tumoral origin,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/60599f4009764cfb914c,Fasting proinsulin adj BMI,13
http://www.orpha.net/ORDO/Orphanet_519349,Rare ophthalmic disorder with cranial nerve involvement,13
http://www.ebi.ac.uk/efo/EFO_0022313,total lipids in very large VLDL measurement,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/35ba5b8bcff8ff0b5180,Clonal haematopoiesis of indeterminate potential (SRSF2 mutation),13
http://www.ebi.ac.uk/efo/EFO_0007761,docosahexaenoic acid measurement,13
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f7548d5b1846719ca4da,Aggregate vessel volume; vessels 60-65 mm2,13
http://www.orpha.net/ORDO/Orphanet_99860,Precursor B-cell acute lymphoblastic leukemia,13
http://www.ebi.ac.uk/efo/EFO_0021900,cholesterol in large HDL measurement,13
http://www.orpha.net/ORDO/Orphanet_101685,Rare non-syndromic intellectual disability,12
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0084242dc9e3c8ea5863,eGFRcreat in individuals with diabetes,12
http://www.orpha.net/ORDO/Orphanet_101987,Congenital neutropenia,12
https://purl.org/okn/frink/kg/digcfdekg/node/trait/545822b2ea96b24dd71d,Chronotype (morningness),12
http://www.ebi.ac.uk/efo/EFO_0004831,RR interval,12
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d2e17a7aea821c6e6079,Alcoholic drinks per week,12
https://purl.org/okn/frink/kg/digcfdekg/node/trait/008baa61e8ae6976074f,CT Histogram; Inspiratory; 15th Percentile in Hu; LUL,12
http://purl.obolibrary.org/obo/MONDO_0005340,alopecia areata,12
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b77c4dd2c7b0c02b43de,Slicer Exp Intensity Hu Mode,12
http://www.orpha.net/ORDO/Orphanet_183583,Genetic head and neck malformation,12
http://www.orpha.net/ORDO/Orphanet_2073,Narcolepsy type 1,12
http://www.orpha.net/ORDO/Orphanet_619249,Rare hereditary connective tissue disease,12
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ddfa774e051c390dc0fd,Abdominal Aortic Aneurysm,12
http://www.orpha.net/ORDO/Orphanet_268926,Midline cerebral malformation,12
https://purl.org/okn/frink/kg/digcfdekg/node/trait/100d40e193abb81b1e01,Acne,12
http://www.orpha.net/ORDO/Orphanet_52759,Vasculitis,12
http://www.orpha.net/ORDO/Orphanet_146,Differentiated thyroid carcinoma,12
http://www.ebi.ac.uk/efo/EFO_0004685,hip geometry,12
http://www.orpha.net/ORDO/Orphanet_528084,Non-specific syndromic intellectual disability,12
http://www.ebi.ac.uk/efo/EFO_0006925,Lipoprotein(a),12
http://www.orpha.net/ORDO/Orphanet_139042,Malformation syndrome with odontal and/or periodontal component,12
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f6dc687b1cb06ce3b517,PS retinal layer thickness,12
http://www.orpha.net/ORDO/Orphanet_98638,Rare disease with glaucoma as a major feature,12
http://www.orpha.net/ORDO/Orphanet_585877,B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality,12
http://www.orpha.net/ORDO/Orphanet_98576,Syndromic outer canthal malposition,12
