sym,rhsa,pwLabel
THRA,R-HSA-4090294,SUMOylation of intracellular receptors
RARA,R-HSA-4090294,SUMOylation of intracellular receptors
PPARG,R-HSA-4090294,SUMOylation of intracellular receptors
RORA,R-HSA-4090294,SUMOylation of intracellular receptors
RXRA,R-HSA-4090294,SUMOylation of intracellular receptors
NR1H4,R-HSA-4090294,SUMOylation of intracellular receptors
PPARA,R-HSA-4090294,SUMOylation of intracellular receptors
NR4A2,R-HSA-4090294,SUMOylation of intracellular receptors
CHRM1,R-HSA-416476,G alpha (q) signalling events
TRHR,R-HSA-416476,G alpha (q) signalling events
HTR2C,R-HSA-416476,G alpha (q) signalling events
PIK3CA,R-HSA-416476,G alpha (q) signalling events
ADORA2A,R-HSA-417973,Adenosine P1 receptors
ADORA1,R-HSA-417973,Adenosine P1 receptors
SRC,R-HSA-418555,G alpha (s) signalling events
ADRB1,R-HSA-418555,G alpha (s) signalling events
ADRB2,R-HSA-418555,G alpha (s) signalling events
ADORA2A,R-HSA-418555,G alpha (s) signalling events
HTR7,R-HSA-418555,G alpha (s) signalling events
DRD1,R-HSA-418555,G alpha (s) signalling events
TSHR,R-HSA-418555,G alpha (s) signalling events
HTR6,R-HSA-418555,G alpha (s) signalling events
PTGER2,R-HSA-418555,G alpha (s) signalling events
SRC,R-HSA-418592,ADP signalling through P2Y purinoceptor 1
CXCL8,R-HSA-418594,G alpha (i) signalling events
SRC,R-HSA-418594,G alpha (i) signalling events
DRD4,R-HSA-418594,G alpha (i) signalling events
ADRA2C,R-HSA-418594,G alpha (i) signalling events
OPRM1,R-HSA-418594,G alpha (i) signalling events
ADORA1,R-HSA-418594,G alpha (i) signalling events
OPRL1,R-HSA-418594,G alpha (i) signalling events
OPRD1,R-HSA-418594,G alpha (i) signalling events
ADRA2C,R-HSA-418597,G alpha (z) signalling events
SRC,R-HSA-418885,DCC mediated attractive signaling
SRC,R-HSA-418886,Netrin mediated repulsion signals
CASP3,R-HSA-418889,Caspase activation via Dependence Receptors in the absence of ligand
COL3A1,R-HSA-419037,NCAM1 interactions
COL4A1,R-HSA-419037,NCAM1 interactions
H2AX,R-HSA-427359,SIRT1 negatively regulates rRNA expression
H2AX,R-HSA-427389,ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression
H2AX,R-HSA-427413,NoRC negatively regulates rRNA expression
SRC,R-HSA-428542,Regulation of commissural axon pathfinding by SLIT and ROBO
COL1A1,R-HSA-430116,GP1b-IX-V activation signalling
SRC,R-HSA-430116,GP1b-IX-V activation signalling
SRC,R-HSA-437239,Recycling pathway of L1
EZR,R-HSA-437239,Recycling pathway of L1
MYC,R-HSA-4411364,Binding of TCF/LEF:CTNNB1 to target gene promoters
SRC,R-HSA-4420097,VEGFA-VEGFR2 Pathway
KDR,R-HSA-4420097,VEGFA-VEGFR2 Pathway
PIK3CA,R-HSA-4420097,VEGFA-VEGFR2 Pathway
DCN,R-HSA-4420332,Defective B3GALT6 causes EDSP2 and SEMDJL1
SLC22A1,R-HSA-442660,SLC-mediated transport of neurotransmitters
SLC6A2,R-HSA-442660,SLC-mediated transport of neurotransmitters
SLC6A3,R-HSA-442660,SLC-mediated transport of neurotransmitters
IL17A,R-HSA-448424,Interleukin-17 signaling
CSF1,R-HSA-449836,Other interleukin signaling
CASP3,R-HSA-449836,Other interleukin signaling
FOS,R-HSA-450341,Activation of the AP-1 family of transcription factors
JUN,R-HSA-450341,Activation of the AP-1 family of transcription factors
HSPA1A,R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA
SRC,R-HSA-456926,Thrombin signalling through proteinase activated receptors (PARs)
PIK3CA,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling"
FAS,R-HSA-5213460,RIPK1-mediated regulated necrosis
FAS,R-HSA-5218900,CASP8 activity is inhibited
SRC,R-HSA-5218921,VEGFR2 mediated cell proliferation
KDR,R-HSA-5218921,VEGFR2 mediated cell proliferation
H2AX,R-HSA-5250924,B-WICH complex positively regulates rRNA expression
H2AX,R-HSA-5334118,DNA methylation
TNF,R-HSA-5357786,TNFR1-induced proapoptotic signaling
TNFRSF1A,R-HSA-5357786,TNFR1-induced proapoptotic signaling
TNF,R-HSA-5357905,Regulation of TNFR1 signaling
TNFRSF1A,R-HSA-5357905,Regulation of TNFR1 signaling
TNF,R-HSA-5357956,TNFR1-induced NF-kappa-B signaling pathway
TNFRSF1A,R-HSA-5357956,TNFR1-induced NF-kappa-B signaling pathway
SHH,R-HSA-5358346,Hedgehog ligand biogenesis
RARA,R-HSA-5362517,Signaling by Retinoic Acid
RXRA,R-HSA-5362517,Signaling by Retinoic Acid
RXRB,R-HSA-5362517,Signaling by Retinoic Acid
PDK4,R-HSA-5362517,Signaling by Retinoic Acid
PPARD,R-HSA-5362517,Signaling by Retinoic Acid
SHH,R-HSA-5362768,Hh mutants are degraded by ERAD
SHH,R-HSA-5362798,Release of Hh-Np from the secreting cell
CYP1A2,R-HSA-5423646,Aflatoxin activation and detoxification
CYP3A4,R-HSA-5423646,Aflatoxin activation and detoxification
SLC22A1,R-HSA-549127,SLC-mediated transport of organic cations
H2AX,R-HSA-5578749,Transcriptional regulation by small RNAs
UGT1A1,R-HSA-5579002,Defective UGT1A1 causes hyperbilirubinemia
CYP24A1,R-HSA-5579010,Defective CYP24A1 causes HCAI
CYP19A1,R-HSA-5579030,Defective CYP19A1 causes AEXS
SRC,R-HSA-5607764,CLEC7A (Dectin-1) signaling
GLI1,R-HSA-5610780,Degradation of GLI1 by the proteasome
GLI1,R-HSA-5610787,Hedgehog 'off' state
JUN,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis
RARA,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis
H2AX,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis
PAX6,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis
RXRA,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis
SLC6A3,R-HSA-5619081,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)
SLC6A2,R-HSA-5619109,Defective SLC6A2 causes orthostatic intolerance (OI)
SLCO1B1,R-HSA-5619110,"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)"
TP53,R-HSA-5620971,Pyroptosis
CASP3,R-HSA-5620971,Pyroptosis
BAX,R-HSA-5620971,Pyroptosis
AR,R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
H2AX,R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
TNF,R-HSA-5626978,TNFR1-mediated ceramide production
TNFRSF1A,R-HSA-5626978,TNFR1-mediated ceramide production
TP53,R-HSA-5628897,TP53 Regulates Metabolic Genes
PTEN,R-HSA-5628897,TP53 Regulates Metabolic Genes
PRKAA1,R-HSA-5628897,TP53 Regulates Metabolic Genes
SHH,R-HSA-5632681,Ligand-receptor interactions
GLI1,R-HSA-5632684,Hedgehog 'on' state
SHH,R-HSA-5632684,Hedgehog 'on' state
SHH,R-HSA-5635838,Activation of SMO
GLI1,R-HSA-5635851,GLI proteins bind promoters of Hh responsive genes to promote transcription
EGF,R-HSA-5637810,Constitutive Signaling by EGFRvIII
PIK3CA,R-HSA-5637810,Constitutive Signaling by EGFRvIII
EGF,R-HSA-5638303,Inhibition of Signaling by Overexpressed EGFR
FGF2,R-HSA-5654219,Phospholipase C-mediated cascade: FGFR1
FGF2,R-HSA-5654221,Phospholipase C-mediated cascade; FGFR2
FGF2,R-HSA-5654227,Phospholipase C-mediated cascade; FGFR3
FGF2,R-HSA-5654228,Phospholipase C-mediated cascade; FGFR4
FGF2,R-HSA-5654687,Downstream signaling of activated FGFR1
FGF2,R-HSA-5654688,SHC-mediated cascade:FGFR1
FGF2,R-HSA-5654689,PI-3K cascade:FGFR1
PIK3CA,R-HSA-5654689,PI-3K cascade:FGFR1
FGF2,R-HSA-5654693,FRS-mediated FGFR1 signaling
FGF2,R-HSA-5654695,PI-3K cascade:FGFR2
PIK3CA,R-HSA-5654695,PI-3K cascade:FGFR2
FGF2,R-HSA-5654699,SHC-mediated cascade:FGFR2
FGF2,R-HSA-5654700,FRS-mediated FGFR2 signaling
FGF2,R-HSA-5654704,SHC-mediated cascade:FGFR3
FGF2,R-HSA-5654706,FRS-mediated FGFR3 signaling
FGF2,R-HSA-5654710,PI-3K cascade:FGFR3
PIK3CA,R-HSA-5654710,PI-3K cascade:FGFR3
FGF2,R-HSA-5654712,FRS-mediated FGFR4 signaling
FGF2,R-HSA-5654719,SHC-mediated cascade:FGFR4
FGF2,R-HSA-5654720,PI-3K cascade:FGFR4
PIK3CA,R-HSA-5654720,PI-3K cascade:FGFR4
FGF2,R-HSA-5654726,Negative regulation of FGFR1 signaling
FGF2,R-HSA-5654727,Negative regulation of FGFR2 signaling
FGF2,R-HSA-5654732,Negative regulation of FGFR3 signaling
FGF2,R-HSA-5654733,Negative regulation of FGFR4 signaling
FGF2,R-HSA-5655253,Signaling by FGFR2 in disease
PIK3CA,R-HSA-5655253,Signaling by FGFR2 in disease
PIK3CA,R-HSA-5655291,Signaling by FGFR4 in disease
FGF2,R-HSA-5655302,Signaling by FGFR1 in disease
PIK3CA,R-HSA-5655302,Signaling by FGFR1 in disease
FGF2,R-HSA-5655332,Signaling by FGFR3 in disease
PIK3CA,R-HSA-5655332,Signaling by FGFR3 in disease
REV3L,R-HSA-5655862,Translesion synthesis by POLK
REV3L,R-HSA-5656121,Translesion synthesis by POLI
SHH,R-HSA-5658034,HHAT G278V doesn't palmitoylate Hh-Np
FGF2,R-HSA-5658623,FGFRL1 modulation of FGFR1 signaling
SLC6A3,R-HSA-5660724,Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)
SRC,R-HSA-5663220,RHO GTPases Activate Formins
TNF,R-HSA-5668541,TNFR2 non-canonical NF-kB pathway
CD40,R-HSA-5668541,TNFR2 non-canonical NF-kB pathway
TNFRSF1A,R-HSA-5669034,TNFs bind their physiological receptors
SRC,R-HSA-5673000,RAF activation
EGF,R-HSA-5673001,RAF/MAP kinase cascade
FGF2,R-HSA-5673001,RAF/MAP kinase cascade
HGF,R-HSA-5673001,RAF/MAP kinase cascade
IL2,R-HSA-5673001,RAF/MAP kinase cascade
PIK3CA,R-HSA-5673001,RAF/MAP kinase cascade
SRC,R-HSA-5674135,MAP2K and MAPK activation
FOXO3,R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer
CDKN1A,R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer
FOXO1,R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer
PTEN,R-HSA-5674404,PTEN Loss of Function in Cancer
CD40,R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway
ABCB11,R-HSA-5678520,Defective ABCB11 causes PFIC2 and BRIC2
ADRA2C,R-HSA-5683826,Surfactant metabolism
ADORA2A,R-HSA-5683826,Surfactant metabolism
FOXO3,R-HSA-5687128,MAPK6/MAPK4 signaling
MYC,R-HSA-5687128,MAPK6/MAPK4 signaling
JUN,R-HSA-5687128,MAPK6/MAPK4 signaling
FOXO1,R-HSA-5687128,MAPK6/MAPK4 signaling
TGFB1,R-HSA-5689603,UCH proteinases
MYC,R-HSA-5689880,Ub-specific processing proteases
TP53,R-HSA-5689880,Ub-specific processing proteases
ADRB2,R-HSA-5689880,Ub-specific processing proteases
AR,R-HSA-5689880,Ub-specific processing proteases
PTEN,R-HSA-5689880,Ub-specific processing proteases
HIF1A,R-HSA-5689880,Ub-specific processing proteases
TP53,R-HSA-5689896,Ovarian tumor domain proteases
ESR1,R-HSA-5689896,Ovarian tumor domain proteases
PTEN,R-HSA-5689896,Ovarian tumor domain proteases
TP53,R-HSA-5693565,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
H2AX,R-HSA-5693565,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
H2AX,R-HSA-5693571,Nonhomologous End-Joining (NHEJ)
H2AX,R-HSA-5693607,Processing of DNA double-strand break ends
H2AX,R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere
SDHB,R-HSA-611105,Respiratory electron transport
TIMP1,R-HSA-6783783,Interleukin-10 signaling
TNF,R-HSA-6783783,Interleukin-10 signaling
CSF1,R-HSA-6783783,Interleukin-10 signaling
CXCL8,R-HSA-6783783,Interleukin-10 signaling
CCL2,R-HSA-6783783,Interleukin-10 signaling
IL6,R-HSA-6783783,Interleukin-10 signaling
ICAM1,R-HSA-6783783,Interleukin-10 signaling
TNFRSF1A,R-HSA-6783783,Interleukin-10 signaling
EGF,R-HSA-6785631,ERBB2 Regulates Cell Motility
FOXO3,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
MMP1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
FOS,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
TIMP1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
MYC,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
TGFB1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
TP53,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
TNF,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
MMP3,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
FGF2,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
ICAM1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
IL6R,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
CCL2,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
IL6,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
CXCL8,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
HGF,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
MMP9,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
RORA,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
CCND1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
VCAM1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
CDKN1A,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
OPRM1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
POU2F1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
RORC,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
HIF1A,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
FOXO1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
IL17A,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
OPRD1,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
FOS,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes
TP53,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes
JUN,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes
CAT,R-HSA-6798695,Neutrophil degranulation
PLAU,R-HSA-6798695,Neutrophil degranulation
HSPA1A,R-HSA-6798695,Neutrophil degranulation
MMP9,R-HSA-6798695,Neutrophil degranulation
PLAUR,R-HSA-6798695,Neutrophil degranulation
SRC,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants
SRC,R-HSA-6802948,Signaling by high-kinase activity BRAF mutants
BCL2L11,R-HSA-6802952,Signaling by BRAF and RAF1 fusions
SRC,R-HSA-6802952,Signaling by BRAF and RAF1 fusions
SRC,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF
TP53,R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
BAX,R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release
TP53,R-HSA-6803205,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain
TP53,R-HSA-6803207,TP53 Regulates Transcription of Caspase Activators and Caspases
TP53,R-HSA-6803211,TP53 Regulates Transcription of Death Receptors and Ligands
FAS,R-HSA-6803211,TP53 Regulates Transcription of Death Receptors and Ligands
TP53,R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
BAX,R-HSA-6804114,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
TP53,R-HSA-6804115,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain
TP53,R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
CDKN1A,R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
TP53,R-HSA-6804754,Regulation of TP53 Expression
TP53,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation
PRKAA1,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation
TP53,R-HSA-6804757,Regulation of TP53 Degradation
TP53,R-HSA-6804758,Regulation of TP53 Activity through Acetylation
TP53,R-HSA-6804759,Regulation of TP53 Activity through Association with Co-factors
TP53,R-HSA-6804760,Regulation of TP53 Activity through Methylation
HGF,R-HSA-6806942,MET Receptor Activation
HGF,R-HSA-6807004,Negative regulation of MET activity
SP1,R-HSA-6807505,RNA polymerase II transcribes snRNA genes
POU2F1,R-HSA-6807505,RNA polymerase II transcribes snRNA genes
ALPP,R-HSA-6811438,Intra-Golgi traffic
TP53,R-HSA-6811555,PI5P Regulates TP53 Acetylation
ESR1,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
EGF,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
SRC,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
FGF2,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
HGF,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
PIK3CA,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
ESR2,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
H2AX,R-HSA-68616,Assembly of the ORC complex at the origin of replication
MYC,R-HSA-69202,Cyclin E associated events during G1/S transition 
CDKN1A,R-HSA-69202,Cyclin E associated events during G1/S transition 
SRC,R-HSA-69231,Cyclin D associated events in G1
CCND1,R-HSA-69231,Cyclin D associated events in G1
CDKN1A,R-HSA-69231,Cyclin D associated events in G1
FAS,R-HSA-69416,Dimerization of procaspase-8
TP53,R-HSA-69473,G2/M DNA damage checkpoint
H2AX,R-HSA-69473,G2/M DNA damage checkpoint
TP53,R-HSA-69481,G2/M Checkpoints
TP53,R-HSA-69541,Stabilization of p53
CDKN1A,R-HSA-69563,p53-Dependent G1 DNA Damage Response
MYC,R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry
CDKN1A,R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry
TP53,R-HSA-69895,Transcriptional  activation of  cell cycle inhibitor p21 
CDKN1A,R-HSA-69895,Transcriptional  activation of  cell cycle inhibitor p21 
SDHB,R-HSA-71403,Citric acid cycle (TCA cycle)
H2AX,R-HSA-73728,RNA Polymerase I Promoter Opening
H2AX,R-HSA-73772,RNA Polymerase I Promoter Escape
NFIA,R-HSA-73980,RNA Polymerase III Transcription Termination
ADK,R-HSA-74217,Purine salvage
POU2F1,R-HSA-749476,RNA Polymerase III Abortive And Retractive Initiation
NFIA,R-HSA-749476,RNA Polymerase III Abortive And Retractive Initiation
FASN,R-HSA-75105,Fatty acyl-CoA biosynthesis
FAS,R-HSA-75157,FasL/ CD95L signaling
PLAT,R-HSA-75205,Dissolution of Fibrin Clot
SERPINE1,R-HSA-75205,Dissolution of Fibrin Clot
PLAU,R-HSA-75205,Dissolution of Fibrin Clot
PLAUR,R-HSA-75205,Dissolution of Fibrin Clot
CCND1,R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D
COL1A1,R-HSA-75892,Platelet Adhesion to exposed collagen
TNF,R-HSA-75893,TNF signaling
TNFRSF1A,R-HSA-75893,TNF signaling
COL1A1,R-HSA-76009,Platelet Aggregation (Plug Formation)
POU2F1,R-HSA-76071,RNA Polymerase III Transcription Initiation From Type 3 Promoter
HMGCS2,R-HSA-77111,Synthesis of Ketone Bodies
HLA-DRA,R-HSA-877300,Interferon gamma signaling
ICAM1,R-HSA-877300,Interferon gamma signaling
VCAM1,R-HSA-877300,Interferon gamma signaling
SLCO1B1,R-HSA-879518,Organic anion transport by SLCO transporters
EGF,R-HSA-8847993,ERBB2 Activates PTK6 Signaling
CCND1,R-HSA-8849470,PTK6 Regulates Cell Cycle
NR3C1,R-HSA-8849473,PTK6 Expression
HIF1A,R-HSA-8849473,PTK6 Expression
FGF2,R-HSA-8851708,Signaling by FGFR2 IIIa TM
HGF,R-HSA-8851805,MET activates RAS signaling
HGF,R-HSA-8851907,MET activates PI3K/AKT signaling
PIK3CA,R-HSA-8851907,MET activates PI3K/AKT signaling
TP53,R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint
CDKN1A,R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint
SRC,R-HSA-8853659,RET signaling
PIK3CA,R-HSA-8853659,RET signaling
TP53,R-HSA-8853884,Transcriptional Regulation by VENTX
IL6,R-HSA-8853884,Transcriptional Regulation by VENTX
